date,code,close,high,low,open,p_change,turnover,volume,t_volue
2011/7/19,'002230,42.31,43.64,42.05,43.14,-2.6013,0.646,1557652,10665388490
2011/7/20,'002230,41.7,42.35,40.89,42.35,-1.4417,1.0747,2591325,10511621367
2011/7/21,'002230,41.29,42.55,41.25,41.7,-0.9832,0.7168,1728305,10408269694
2011/7/22,'002230,41,41.79,40.98,41.41,-0.7023,0.5969,1439226,10335167291
2011/7/25,'002230,39.21,41.35,39.21,41.06,-4.3659,0.6902,1664306,9883949012
2011/7/26,'002230,38,39.7,37.62,39.4,-3.0859,0.8983,2165962,9578935538
2011/7/27,'002230,39.4,39.97,37.9,38.01,3.6842,1.4389,3469566,9931843689
2011/7/28,'002230,39.07,39.6,38.86,39.38,-0.8376,0.6964,1679163,9848658197
2011/7/29,'002230,38.82,39.2,38.38,39.12,-0.6399,0.3773,909672,9785638884
2011/8/1,'002230,40.76,40.88,38.51,38.6,4.9974,1.0621,2561011,10274668751
2011/8/4,'002230,39.8,40.75,38.6,40.75,-2.3553,2.3946,5773946,10032674590
2011/8/5,'002230,38.82,39.68,38.01,38.01,-2.4623,0.6811,1642291,9785638884
2011/8/8,'002230,36.85,38.81,35.86,38.05,-5.0747,0.9455,2279899,9289046699
2011/8/9,'002230,36.06,37.3,33.8,35.6,-2.1438,1.0992,2650337,9089905671
2011/8/10,'002230,36.24,37.11,36.15,36.9,0.4992,1.0438,2516782,9135279576
2011/8/11,'002230,36.81,36.88,35.37,35.37,1.5728,0.6907,1665528,9278963609
2011/8/12,'002230,36.58,37.58,36.57,36.9,-0.6248,0.9185,2214795,9220985842
2011/8/15,'002230,37.62,38.05,36.2,36.7,2.8431,0.9129,2201294,9483146183
2011/8/16,'002230,37.22,38.24,37.2,37.73,-1.0633,0.573,1381637,9382315282
2011/8/17,'002230,36.86,37.71,36.7,37.25,-0.9672,0.4219,1017328,9291567472
2011/8/18,'002230,36.1,36.97,36.1,36.86,-2.0619,0.4255,1026024,9099988761
2011/8/19,'002230,35.69,35.8,35,35.5,-1.1357,0.482,1162189,8996637088
2011/8/22,'002230,35.62,36.38,35.55,35.64,-0.1961,0.3581,863478,8978991681
2011/8/23,'002230,35.9,36.05,35.5,35.63,0.7861,0.3061,738134,9049573311
2011/8/24,'002230,37.01,37.65,35.95,36.21,3.0919,0.8916,2149863,9329379060
2011/8/25,'002230,37.64,37.8,36.51,36.51,1.7022,0.5932,1430315,9488187728
2011/8/26,'002230,37.24,38.01,36.9,37.82,-1.0627,0.4687,1130205,9387356827
2011/8/29,'002230,36.7,37,36.66,37,-1.4501,0.2522,608182,9251235112
2011/8/30,'002230,36.7,37.2,36.61,37,0,0.2916,703037,9251235112
2011/8/31,'002230,36,36.7,35.71,36.69,-1.9074,0.4152,1001135,9074781036
2011/9/1,'002230,36,36.8,35.86,36.48,0,0.1551,373867,9074781036
2011/9/2,'002230,35.85,36.26,35.6,36.01,-0.4167,0.1252,301837,9036969448
2011/9/5,'002230,34.7,35.82,34.7,35.41,-3.2078,0.4066,980332,8747080610
2011/9/6,'002230,34.7,34.96,34.34,34.73,0,0.2223,536056,8747080610
2011/9/7,'002230,35.19,35.2,34.88,34.88,1.4121,0.2655,640274,8870598463
2011/9/8,'002230,34.9,35.68,34.9,35.23,-0.8241,0.2417,582885,8797496060
2011/9/9,'002230,35.06,35.48,34.81,35.29,0.4585,0.1726,416095,8837828420
2011/9/13,'002230,34.42,34.97,34.3,34.8,-1.8254,0.1818,438257,8676498979
2011/9/14,'002230,35.15,35.16,34.08,34.5,2.1209,0.1879,452973,8860515373
2011/9/15,'002230,35.15,35.91,35.11,35.3,0,0.3053,736216,8860515373
2011/9/16,'002230,35.12,35.6,35.04,35.2,-0.0853,0.112,269945,8852953055
2011/9/19,'002230,34.78,35.24,34.67,35.08,-0.9681,0.1861,448699,8767246790
2011/9/20,'002230,35.5,35.56,34.51,34.78,2.0702,0.333,803055,8948742411
2011/9/21,'002230,36.16,36.2,34.99,35.54,1.8592,0.3505,845158,9115113396
2011/9/22,'002230,34.7,35.75,34.7,35.61,-4.0376,0.5114,1233145,8747080610
